case_id,cohort,sector_profile,organization_profile,vestigingsnummer,naam,gemeente,adres,sbi_code,kvk_nummer,gevraagd_jaar,expected_routes,known_pitfall,legacy_wp_hint,expected_wp,expected_unit,expected_scope,expected_outcome,verification_status,reviewer,review_date,notes
legacy-v012,legacy_mixed,zorg_lokale_praktijk,lokale_vestiging,V012,Orthodontie aan de Maas B.V.,Maastricht,Avenue Ceramique 125,8623,12345612,2025,website|team_afspraak|digimv|media,Foto's en medewerkers onderaan de pagina kunnen ontbreken,9,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v013,legacy_mixed,zorg_lokale_praktijk,lokale_vestiging,V013,Huisartsenpraktijk Hoensbroek,Heerlen,Hoofdstraat 5,8621,12345613,2025,website|team_afspraak|digimv|media,Gelijknamige praktijken en adresidentiteit extra controleren,13,,,,needs_review,pending_review,,,Bekend twijfelgeval; oud cijfer niet vertrouwen
legacy-v014,legacy_mixed,zorg_lokale_praktijk,multilocatie,V014,Verloskundigen (CB-er),Sittard-Geleen,Rijksweg Zuid 30,8691,12345614,2025,website|team_afspraak|digimv|media,CB-er en meerdere locaties maken scope onduidelijk,10,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v015,legacy_mixed,zakelijke_dienstverlening,lokale_vestiging,V015,Dreessen Advocaten,Maastricht,Wilhelminasingel 68,6910,12345615,2025,website|document|media,Partners en ondersteunend personeel kunnen verschillend worden geteld,5,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v016,legacy_mixed,zorg_lokale_praktijk,lokale_vestiging,V016,Fysiosittard,Sittard-Geleen,Geerweg 2,8692,12345616,2025,website|team_afspraak|digimv|media,Meerdere disciplines en zelfstandigen in teamlijst,17,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v017,legacy_mixed,zakelijke_dienstverlening,lokale_vestiging,V017,Philipse Accountancy en Advisering B.V.,Venlo,Kazernestraat 17,6920,12345617,2025,website|document|media,Klein team zonder formele documenten,2,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v018,legacy_mixed,zakelijke_dienstverlening,lokale_vestiging,V018,Maasstreek Makelaardij B.V.,Roermond,Markt 21,6831,12345618,2025,website|document|media,Team kan medewerkers en aangesloten makelaars mengen,4,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v019,legacy_mixed,detailhandel,lokale_vestiging,V019,Poulissen Audio Video Center B.V.,Roermond,Neerstraat 40,4743,12345619,2025,website|document|media,Website noemt mogelijk groep in plaats van winkel,10,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
legacy-v020,legacy_mixed,detailhandel,filiaal,V020,IKEA Heerlen,Heerlen,In de Cramer 142,4759,30126095,2025,website|document|media,Nieuwsgetal kan verouderd of vestigingsoverstijgend zijn,400,,,,needs_review,pending_review,,,Oud cijfer uitsluitend als onderzoekshint
edu-po-enkel,education,onderwijs_po,enkele_vestiging,,Rooms Katholieke Basisschool De Zjwiek,Leudal,Beeklaan 3 Roggel,85201,,2025,website|document|duo|media,DUO-personen hebben een eigen definitie,29,,onderwijspersoneel_personen,vestiging,needs_review,pending_review,,,Instellingscode 03HL
edu-vo-enkel,education,onderwijs_vo,enkele_vestiging,,Praktijkonderwijs Roermond,Roermond,Heinsbergerweg 184 Roermond,85311,,2025,website|document|duo|media,DUO-personen hebben een eigen definitie,35,,onderwijspersoneel_personen,vestiging,needs_review,pending_review,,,Instellingscode 23HH
edu-vo-meervestiging,education,onderwijs_vo,multilocatie,,Mundium College,Roermond,Jagerstraat 6 Roermond,85202,,2025,website|document|duo|media,Instellingscijfer hoort bij meerdere Limburgse vestigingen,338,,onderwijspersoneel_personen,limburg,needs_review,pending_review,,,Instellingscode 03XF
edu-vo-groep,education,onderwijs_vo,onderwijsgroep,,Trevianum Scholengroep,Sittard-Geleen,Bradleystraat 25 Sittard,85202,,2025,website|document|duo|media,Meerdere instellingscodes nooit blind optellen,,,onderwijspersoneel_personen,limburg,needs_review,pending_review,,,Instellingscodes 01MO 04DS 07BQ
edu-mbo-vista,education,onderwijs_mbo,instelling,,VISTA College,Maastricht,Sibemaweg 20 Maastricht,85342,,2025,website|document|duo|media,Instellingswaarde is niet per leslocatie,1370,,onderwijspersoneel_personen,instelling,needs_review,pending_review,,,Instellingscode 25PL
edu-mbo-gilde,education,onderwijs_mbo,instelling,,Gilde Opleidingen,Roermond,Bredeweg 235 Roermond,85342,,2025,website|document|duo|media,Instellingswaarde is niet per leslocatie,1023,,onderwijspersoneel_personen,instelling,needs_review,pending_review,,,Instellingscode 25LT
edu-ho-maastricht,education,onderwijs_ho,instelling,,Maastricht University,Maastricht,Minderbroedersberg 4 Maastricht,85421,,2025,website|document|duo|media,Geen vergelijkbare directe DUO-personeelsbron voor HO,,,,onbekend,needs_review,pending_review,,,Negatieve sectorspecifieke routecase
formal-ou,formal_documents,onderwijs_ho,organisatie,,Open Universiteit,,,,,2024,website|document|duo|media,Publicatiejaar kan N+1 zijn,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-servatius,formal_documents,woningcorporatie,organisatie,,Woningstichting Servatius,,,,,2025,website|document|media,Formeel document kan alleen concernscope hebben,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-um,formal_documents,onderwijs_ho,organisatie,,Maastricht University,,,,,2024,website|document|duo|media,Overlap met onderwijsroute en publicatiejaar N+1,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-zuyd,formal_documents,onderwijs_ho,organisatie,,Zuyd Hogeschool,,,,,2024,website|document|duo|media,Instellingsscope versus afzonderlijke locaties,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-puntwelzijn,formal_documents,welzijn,organisatie,,Stichting Punt Welzijn,,,,,2024,website|document|media,Kleine organisatie met formeel document,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-dynagroup,formal_documents,zakelijke_dienstverlening,organisatie,,DynaGroup B.V.,,,,,2023,website|document|media,HTML-jaarverslag in plaats van PDF,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-aviko,formal_documents,industrie,concern,,Aviko Lomm,,,,,2025,website|document|media,Publicatiepagina verwijst naar groepsrapport,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
formal-philadelphia,formal_documents,zorg_institutioneel,organisatie,,Stichting Philadelphia,,,,,2025,website|document|digimv|media,Zorggroep met document- en DigiMV-route,,,,concern,needs_review,pending_review,,,Bestaande bronnenbenchmark
care-kraamzorg-west,care_branches,zorg_thuiszorg,regio,685445220,Groene Kruis Kraamzorg - Regio Westelijke Mijnstreek,,,,,2025,website|document|digimv|media,Regioteam op organisatiebrede website,,,,,needs_review,pending_review,,,Echte productiecase
care-eldershof,care_branches,zorg_wonen,lokale_vestiging,670278420,Groepswoningen Eldershof,,,,,2025,website|document|digimv|media,Concernjaarverslag bevat geen vestigingsverdeling,,,,,needs_review,pending_review,,,Echte productiecase
care-amaliahof,care_branches,zorg_wonen,lokale_vestiging,655138023,Woonzorgcentrum Amaliahof,,,,,2025,website|document|digimv|media,Concerngetal kan onterecht als locatiegetal worden gebruikt,,,,,needs_review,pending_review,,,Echte productiecase
care-zorghotel-roermond,care_branches,zorg_revalidatie,lokale_vestiging,502085294,Zorghotel Roermond B.V.,,,,,2025,website|document|digimv|media,Meerdere concerncijfers met verschillende peilmomenten,,,,,needs_review,pending_review,,,Echte productiecase
care-witte-steen,care_branches,zorg_dagbesteding,lokale_vestiging,111071706,De Witte Steen - Activiteitencentrum,,,,,2025,website|document|digimv|media,Locatiepagina zonder expliciet personeelsgetal,,,,,needs_review,pending_review,,,Echte productiecase
care-revalidatie-venray,care_branches,zorg_revalidatie,lokale_vestiging,670310820,Revalidatiekliniek Noord-Limburg - Venray,,,,,2025,website|document|digimv|media,Meerdere PDF's en een klein fout-positief getal,,,,,needs_review,pending_review,,,Echte productiecase
care-zorggroep-concern,care_branches,zorg_institutioneel,concern,111361717,Stichting Zorggroep Noord- en Midden-Limburg,,,,,2025,website|document|digimv|media,Concerncase als contrast met dochtervestigingen,,,,concern,needs_review,pending_review,,,Echte productiecase
care-groenling,care_branches,zorg_kinderopvang,lokale_vestiging,718797420,De Groenling,,,,,2025,website|document|digimv|media,Lokaal teamgetal naast oude onderwijsjaarverslagen,,,,,needs_review,pending_review,,,Echte productiecase
care-hospice-ark,care_branches,zorg_hospice,lokale_vestiging,670291626,Hospice de Ark,,,,,2025,website|document|digimv|media,Concernbron zonder lokaal getal,,,,,needs_review,pending_review,,,Echte productiecase
care-hospice-mariaweide,care_branches,zorg_hospice,lokale_vestiging,670292223,Hospice Mariaweide,,,,,2024,website|document|digimv|media,Jaarverslag noemt mogelijk medewerkers en vrijwilligers,,,,,needs_review,pending_review,,,Echte productiecase
care-team-echt-zuid,care_branches,zorg_thuiszorg,lokaal_team,789452820,"Groene Kruis Wijkverpleging, Team Echt Zuid",,,,,2025,website|document|digimv|media,Teamroute versus concernjaarverslag,,,,,needs_review,pending_review,,,Echte productiecase
care-valdere,care_branches,zorg_wonen,lokale_vestiging,670297026,Woonzorgcentrum 't Valdere,,,,,2025,website|document|digimv|media,Jaarrekening van bredere stichting kan verkeerd worden toegedeeld,,,,,needs_review,pending_review,,,Echte productiecase
care-psychogeriatrie-venray,care_branches,zorg_expertisecentrum,lokale_vestiging,812635626,Integr. Expert.centr. Psychogeriatrie Venray,,,,,2025,website|document|digimv|media,Afkorting en oude website bemoeilijken identiteit,,,,,needs_review,pending_review,,,Echte productiecase
care-hospice-franciscus,care_branches,zorg_hospice,lokale_vestiging,670292820,Hospice Franciscus,,,,,2025,website|document|digimv|media,Bewuste no-result case uit productie,,,,,needs_review,pending_review,,,Echte productiecase zonder kandidaten
care-piushof-b2,care_branches,zorg_wonen,lokale_vestiging,727716420,Groepswoning Piushof B 2,,,,,2025,website|document|digimv|media,Bewuste no-result en zeer specifieke sublocatie,,,,,needs_review,pending_review,,,Echte productiecase zonder kandidaten
